order_item_id,order_id,product_id,quantity,unit_price
1,172,30,4,183.78
2,62,52,5,392.05
3,171,13,3,182.68
4,152,77,3,480.95
5,99,47,5,356.62
6,40,12,2,209.69
7,147,99,2,24.6
8,53,57,5,142.88
9,40,84,4,275.42
10,40,2,1,243.22
11,12,76,1,442.0
12,45,15,4,250.41
13,72,51,2,168.36
14,108,49,5,129.94
15,16,99,2,221.39
16,146,82,1,107.64
17,97,81,4,100.28
18,126,44,1,369.31
19,21,88,5,308.93
20,2,94,2,425.64
21,154,13,3,59.24
22,71,1,1,483.48
23,126,53,1,242.49
24,62,100,2,131.01
25,53,13,4,271.51
26,76,56,5,84.29
27,61,70,1,267.07
28,53,47,3,464.28
29,198,43,2,446.43
30,34,16,4,22.94
31,118,13,1,341.62
32,30,24,5,50.67
33,129,81,4,174.69
34,153,86,4,277.44
35,126,99,4,131.26
36,170,62,5,91.71
37,53,41,1,290.85
38,88,1,5,161.26
39,169,83,3,59.26
40,182,30,2,218.77
41,17,31,1,387.66
42,140,28,4,304.89
43,141,86,4,173.35
44,19,44,4,157.25
45,22,28,1,355.75
46,64,22,3,252.81
47,2,49,1,36.09
48,129,78,5,297.28
49,191,58,5,94.48
50,53,69,1,198.39
51,170,97,1,262.79
52,69,58,4,129.53
53,58,71,5,428.54
54,38,6,5,153.15
55,174,16,2,280.71
56,102,41,4,69.04
57,29,9,4,365.59
58,22,91,5,399.79
59,182,74,2,199.55
60,39,11,2,395.59
61,58,13,2,98.09
62,136,26,4,158.97
63,193,15,5,298.94
64,144,41,1,369.18
65,43,19,1,187.86
66,198,26,2,112.24
67,179,43,2,194.12
68,26,71,1,460.31
69,42,10,2,369.95
70,9,54,5,151.42
71,148,77,3,146.82
72,103,20,4,344.46
73,130,52,5,417.9
74,177,39,5,20.23
75,105,6,2,78.2
76,33,60,4,100.44
77,60,27,4,486.18
78,15,40,5,28.95
79,13,65,2,180.4
80,101,95,4,380.66
81,195,63,1,30.6
82,49,7,1,145.5
83,171,59,2,425.25
84,136,35,1,181.18
85,162,55,1,84.7
86,4,100,5,139.03
87,164,55,1,176.78
88,101,34,1,490.17
89,93,60,2,100.36
90,130,5,5,378.98
91,93,10,1,445.96
92,51,37,4,377.58
93,200,60,1,236.84
94,26,15,1,266.09
95,62,80,1,158.64
96,103,76,4,189.78
97,94,15,4,218.83
98,19,31,5,291.07
99,166,96,5,253.94
100,107,92,3,349.44
101,17,75,2,383.91
102,137,63,3,344.84
103,22,32,2,172.95
104,40,98,1,191.91
105,11,19,4,370.64
106,61,85,5,481.74
107,103,49,1,495.07
108,86,40,1,115.84
109,93,84,4,27.45
110,18,84,5,123.51
111,174,13,5,238.87
112,51,65,5,157.49
113,95,72,1,203.99
114,138,100,1,281.51
115,82,72,1,92.88
116,101,43,1,272.27
117,2,52,5,36.17
118,130,100,2,224.41
119,56,31,2,26.56
120,188,44,1,484.8
121,141,35,3,95.91
122,80,65,4,86.11
123,101,22,1,184.88
124,146,13,3,300.94
125,11,1,3,15.52
126,50,98,4,222.13
127,28,74,5,260.9
128,70,72,3,431.31
129,166,4,1,304.64
130,34,69,3,183.42
131,85,70,5,241.77
132,130,74,4,25.24
133,1,100,4,475.04
134,21,33,1,470.55
135,196,53,1,75.02
136,195,89,4,44.1
137,4,22,2,279.99
138,24,96,3,280.93
139,180,61,2,289.64
140,137,3,2,23.52
141,128,73,3,67.3
142,191,4,1,417.46
143,192,41,3,494.77
144,94,48,2,312.48
145,130,47,4,17.34
146,150,31,2,197.22
147,69,50,1,258.4
148,177,94,4,229.95
149,182,38,4,63.03
150,39,87,4,232.93
151,80,4,1,388.4
152,111,57,1,439.29
153,166,68,2,276.18
154,117,28,2,462.43
155,171,77,4,191.42
156,159,22,2,72.01
157,187,54,1,355.99
158,24,91,3,12.91
159,18,89,1,427.93
160,20,91,2,415.54
161,27,11,2,422.71
162,16,24,3,303.02
163,57,6,4,325.25
164,62,75,5,371.34
165,90,74,4,53.3
166,169,69,5,473.51
167,23,41,3,128.32
168,151,56,4,76.83
169,13,12,4,429.47
170,24,93,5,189.14
171,7,80,2,27.18
172,131,2,1,346.3
173,200,83,1,31.82
174,175,17,1,419.01
175,37,19,5,363.36
176,193,22,2,396.44
177,123,71,1,306.24
178,159,80,3,72.01
179,92,43,3,192.46
180,58,10,4,186.93
181,148,35,2,46.96
182,121,79,5,326.25
183,21,5,3,370.65
184,84,57,5,413.86
185,86,42,2,33.51
186,145,28,3,359.16
187,55,19,5,70.29
188,68,48,5,483.73
189,28,86,5,426.58
190,83,39,5,383.5
191,187,77,3,54.78
192,149,29,3,438.12
193,106,11,3,388.51
194,177,18,3,198.08
195,41,34,3,38.18
196,122,16,4,463.18
197,55,34,2,276.38
198,48,60,1,209.46
199,94,24,5,160.35
200,52,68,3,193.55
201,117,13,1,66.89
202,183,7,4,492.08
203,114,18,2,134.98
204,31,57,5,364.48
205,99,94,1,31.17
206,37,3,3,43.93
207,58,83,5,67.97
208,132,94,3,56.71
209,3,41,2,413.84
210,100,46,3,38.43
211,121,92,3,336.22
212,135,16,4,22.6
213,39,52,3,120.1
214,89,73,1,184.47
215,131,44,5,394.37
216,139,86,4,311.02
217,68,14,2,121.69
218,108,17,4,161.8
219,127,78,3,129.46
220,169,83,2,133.28
221,104,24,4,134.39
222,115,73,1,214.18
223,26,15,3,481.75
224,45,97,5,291.07
225,66,76,2,88.61
226,40,91,3,217.02
227,82,28,1,469.24
228,39,24,3,14.45
229,71,77,1,55.3
230,170,64,1,276.86
231,85,40,5,25.14
232,119,2,5,199.51
233,20,52,1,306.93
234,143,33,3,19.1
235,93,15,2,24.51
236,190,45,3,475.16
237,87,44,2,388.69
238,38,99,1,447.76
239,122,56,3,411.75
240,145,61,4,391.06
241,53,5,3,83.59
242,191,79,1,144.4
243,135,27,1,318.11
244,162,66,4,220.37
245,156,55,5,244.58
246,2,69,4,172.36
247,77,51,1,451.93
248,58,87,3,458.39
249,105,18,1,274.52
250,50,54,2,293.74
251,72,46,4,206.03
252,149,87,5,376.8
253,35,36,3,485.78
254,11,57,5,265.31
255,122,41,4,310.29
256,103,66,2,37.96
257,111,25,4,55.45
258,121,37,1,302.04
259,171,50,5,482.54
260,145,94,4,215.23
261,62,77,5,114.87
262,50,2,4,445.8
263,178,41,4,235.98
264,34,43,3,111.17
265,1,10,1,476.18
266,176,65,5,469.6
267,42,29,2,39.47
268,157,41,5,160.5
269,53,90,5,479.15
270,100,16,1,70.23
271,49,69,5,267.33
272,124,41,1,119.22
273,114,47,1,268.48
274,11,87,2,97.88
275,11,42,5,280.55
276,104,9,2,211.75
277,79,6,4,272.9
278,30,71,3,124.95
279,104,70,5,212.9
280,1,99,2,397.66
281,145,90,3,145.63
282,155,31,1,199.89
283,6,38,5,470.15
284,184,50,5,142.39
285,113,82,4,389.42
286,108,34,3,302.68
287,50,85,4,243.06
288,50,19,2,407.84
289,101,50,5,461.87
290,87,18,1,349.2
291,48,12,4,306.11
292,32,28,4,289.41
293,49,27,1,393.45
294,177,74,3,441.89
295,1,76,5,32.1
296,30,16,2,370.01
297,45,33,1,466.97
298,140,60,4,338.41
299,109,77,2,46.26
300,6,3,4,339.28
301,40,37,5,137.28
302,63,13,4,346.37
